fromLib,toLib,ruleCount,isPossible,isConfirmed,fromLibHomepageURL,toLibHomepageURL,fromLibDescription,toLibDescription,fromLibRepositoryURL,toLibRepositoryURL,fromLibRepositoryDescription,toLibRepositoryDescription
asm:asm-all,org.ow2.asm:asm-commons,2,TRUE,TRUE,http://asm.objectweb.org/asm-all/,http://asm.ow2.io/,A very small and fast Java bytecode manipulation framework,"Usefull class adapters based on ASM, a very small and fast Java bytecode manipulation framework",scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,https://gitlab.ow2.org/asm/asm/,,
asm:asm-all,org.ow2.asm:asm-tree,2,TRUE,TRUE,http://asm.objectweb.org/asm-all/,http://asm.ow2.io/,A very small and fast Java bytecode manipulation framework,"Tree API of ASM, a very small and fast Java bytecode manipulation framework",scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,https://gitlab.ow2.org/asm/asm/,,
asm:asm-all,org.ow2.asm:asm-util,2,TRUE,TRUE,http://asm.objectweb.org/asm-all/,http://asm.ow2.io/,A very small and fast Java bytecode manipulation framework,"Utilities for ASM, a very small and fast Java bytecode manipulation framework",scm:svn:svn://svn.forge.objectweb.org/svnroot/asm/trunk/asm-all,https://gitlab.ow2.org/asm/asm/,,
backport-util-concurrent:backport-util-concurrent,commons-pool:commons-pool,5,TRUE,TRUE,http://backport-jsr166.sourceforge.net/,http://commons.apache.org/pool/,Dawid Kurzyniec's backport of JSR 166,Commons Object Pooling Library,,scm:svn:http://svn.apache.org/repos/asf/commons/proper/pool/trunk,,
bcel:bcel,org.apache.bcel:bcel,3,TRUE,TRUE,,https://commons.apache.org/proper/commons-bcel,,Apache Commons Bytecode Engineering Library,,https://gitbox.apache.org/repos/asf?p=commons-bcel.git,,
castor:castor,org.codehaus.castor:castor,17,TRUE,TRUE,,http://castor.org,,"Castor is an open source data binding framework for Java[tm]. It???s the shortest path between      Java objects, XML documents and relational tables.",,https://github.com/castor-data-binding/castor.git,,
cglib:cglib,org.sonatype.sisu.inject:cglib,1,TRUE,TRUE,https://github.com/cglib/cglib,http://sourceforge.net/projects/cglib/,"cglib is a powerful, high performance and quality Code Generation Library, It is used to extend JAVA classes and implements interfaces at runtime.",,https://github.com/cglib/cglib,scm:git:git@github.com:sonatype/sisu-cglib.git,"cglib - Byte Code Generation Library is high level API to generate and transform Java byte code. It is used by AOP, testing, data access frameworks to generate dynamic proxy objects and intercept field access.",
ch.qos.logback:logback-classic,org.slf4j:slf4j-api,87,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,The slf4j API,https://github.com/ceki/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-classic,org.slf4j:slf4j-simple,68,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,SLF4J Simple binding,https://github.com/ceki/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-slf4j-impl,55,TRUE,TRUE,http://logback.qos.ch,,logback-classic module,Binding between SLF4J API and Log4J2 Core,https://github.com/ceki/logback,scm:git:http://git-wip-us.apache.org/repos/asf/logging-log4j2.git/log4j-slf4j-impl,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-core,52,TRUE,TRUE,http://logback.qos.ch,https://logging.apache.org/log4j/2.x/,logback-classic module,The Apache Log4j Implementation,https://github.com/ceki/logback,https://git-wip-us.apache.org/repos/asf?p=logging-log4j2.git;a=summary,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-api,41,TRUE,TRUE,http://logback.qos.ch,https://logging.apache.org/log4j/2.x/,logback-classic module,The Apache Log4j API,https://github.com/ceki/logback,https://git-wip-us.apache.org/repos/asf?p=logging-log4j2.git;a=summary,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-classic,org.slf4j:jcl-over-slf4j,41,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,JCL 1.2 implemented over SLF4J,https://github.com/ceki/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-classic,org.slf4j:slf4j-log4j12,41,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,SLF4J LOG4J-12 Binding,https://github.com/ceki/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-classic,log4j:log4j,37,TRUE,TRUE,http://logback.qos.ch,http://logging.apache.org/log4j/1.2/,logback-classic module,Apache Log4j 1.2,https://github.com/ceki/logback,http://svn.apache.org/viewvc/logging/log4j/tags/v1_2_17_rc3,"The reliable, generic, fast and flexible logging framework for Java.","A fork of log4j1 that improves performance.    log4j1 is effectively dead, but getting some Atlassian software off log4j1 is herculean effort.      In the mean time we can improve some of the performance hurdles in an other wise sturdy library that has served us so well."
ch.qos.logback:logback-classic,org.slf4j:log4j-over-slf4j,27,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,Log4j implemented over SLF4J,https://github.com/ceki/logback,git@github.com:qos-ch/slf4j.git/log4j-over-slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-classic,org.springframework.boot:spring-boot-dependencies,14,TRUE,TRUE,http://logback.qos.ch,https://projects.spring.io/spring-boot/#,logback-classic module,Spring Boot Dependencies,https://github.com/ceki/logback,https://github.com/spring-projects/spring-boot,"The reliable, generic, fast and flexible logging framework for Java.",Spring Boot
ch.qos.logback:logback-classic,org.springframework.boot:spring-boot-starter-logging,10,TRUE,TRUE,http://logback.qos.ch,https://projects.spring.io/spring-boot/#/spring-boot-parent/spring-boot-starters/spring-boot-starter-logging,logback-classic module,Starter for logging using Logback. Default logging starter,https://github.com/ceki/logback,https://github.com/spring-projects/spring-boot,"The reliable, generic, fast and flexible logging framework for Java.",Spring Boot
ch.qos.logback:logback-classic,org.slf4j:slf4j-jdk14,9,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,SLF4J JDK14 Binding,https://github.com/ceki/logback,git@github.com:qos-ch/slf4j.git/slf4j-jdk14,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-classic,org.slf4j:slf4j-nop,8,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-classic module,SLF4J NOP Binding,https://github.com/ceki/logback,git@github.com:qos-ch/slf4j.git/slf4j-nop,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-core,org.slf4j:slf4j-api,20,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-core module,The slf4j API,https://github.com/qos-ch/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-core,org.slf4j:slf4j-simple,17,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-core module,SLF4J Simple binding,https://github.com/qos-ch/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-core,15,TRUE,TRUE,http://logback.qos.ch,https://logging.apache.org/log4j/2.x/,logback-core module,The Apache Log4j Implementation,https://github.com/qos-ch/logback,https://git-wip-us.apache.org/repos/asf?p=logging-log4j2.git;a=summary,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-slf4j-impl,13,TRUE,TRUE,http://logback.qos.ch,,logback-core module,Binding between SLF4J API and Log4J2 Core,https://github.com/qos-ch/logback,scm:git:http://git-wip-us.apache.org/repos/asf/logging-log4j2.git/log4j-slf4j-impl,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-core,log4j:log4j,11,TRUE,TRUE,http://logback.qos.ch,http://logging.apache.org/log4j/1.2/,logback-core module,Apache Log4j 1.2,https://github.com/qos-ch/logback,http://svn.apache.org/viewvc/logging/log4j/tags/v1_2_17_rc3,"The reliable, generic, fast and flexible logging framework for Java.","A fork of log4j1 that improves performance.    log4j1 is effectively dead, but getting some Atlassian software off log4j1 is herculean effort.      In the mean time we can improve some of the performance hurdles in an other wise sturdy library that has served us so well."
ch.qos.logback:logback-core,org.slf4j:slf4j-log4j12,10,TRUE,TRUE,http://logback.qos.ch,http://www.slf4j.org,logback-core module,SLF4J LOG4J-12 Binding,https://github.com/qos-ch/logback,https://github.com/qos-ch/slf4j,"The reliable, generic, fast and flexible logging framework for Java.",Simple Logging Facade for Java
ch.qos.logback:logback-core,org.apache.logging.log4j:log4j-api,8,TRUE,TRUE,http://logback.qos.ch,https://logging.apache.org/log4j/2.x/,logback-core module,The Apache Log4j API,https://github.com/qos-ch/logback,https://git-wip-us.apache.org/repos/asf?p=logging-log4j2.git;a=summary,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-core,org.springframework.boot:spring-boot-dependencies,7,TRUE,TRUE,http://logback.qos.ch,https://projects.spring.io/spring-boot/#,logback-core module,Spring Boot Dependencies,https://github.com/qos-ch/logback,https://github.com/spring-projects/spring-boot,"The reliable, generic, fast and flexible logging framework for Java.",Spring Boot
ch.qos.logback:logback-core,org.apache.logging.log4j.adapters:log4j-slf4j-impl,3,TRUE,TRUE,http://logback.qos.ch,http://logging.apache.org/log4j/2.x/log4j-slf4j-impl/,logback-core module,Binding between SLF4J API and Log4J2 Core,https://github.com/qos-ch/logback,scm:svn:http://svn.apache.org/repos/asf/logging/log4j/log4j2/tags/log4j-2.0-beta4/log4j-slf4j-impl,"The reliable, generic, fast and flexible logging framework for Java.",
ch.qos.logback:logback-core,edu.stanford.protege:protege-launcher,2,TRUE,TRUE,http://logback.qos.ch,http://protege.stanford.edu,logback-core module,The Protege Launcher,https://github.com/qos-ch/logback,https://github.com/protegeproject/protege.git,"The reliable, generic, fast and flexible logging framework for Java.",Protege Desktop
ch.qos.logback:logback-core,org.kevoree:org.kevoree.log,2,TRUE,TRUE,http://logback.qos.ch,http://kevoree.org,logback-core module,The Kevoree Java project,https://github.com/qos-ch/logback,scm:git:git@github.com:dukeboard/kevoree.git/org.kevoree.root/org.kevoree.log,"The reliable, generic, fast and flexible logging framework for Java.",The Kevoree Java project
colt:colt,com.blazegraph:colt,12,TRUE,TRUE,,,,,,,,
colt:colt,org.apache.mahout:mahout-math,2,TRUE,TRUE,,,,"High performance scientific and technical computing data structures and methods,     mostly based on CERN's     Colt Java API",,https://github.com/apache/mahout.git,,Mirror of Apache Mahout
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-databind,17,TRUE,TRUE,https://github.com/alibaba/fastjson,http://github.com/FasterXML/jackson,Fastjson is a JSON processor (JSON parser + JSON generator) written in Java,General data-binding functionality for Jackson: works on core streaming API,https://github.com/alibaba/fastjson,https://github.com/FasterXML/jackson-databind,A fast JSON parser/generator for Java.  2019???????????????????????????????????????????????????????????? https://www.oschina.net/project/top_cn_2019,General data-binding package for Jackson (2.x): works on streaming API (core) implementation(s)
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-core,9,TRUE,TRUE,https://github.com/alibaba/fastjson,https://github.com/FasterXML/jackson-core,Fastjson is a JSON processor (JSON parser + JSON generator) written in Java,"Core Jackson processing abstractions (aka Streaming API), implementation for JSON",https://github.com/alibaba/fastjson,https://github.com/FasterXML/jackson-core,A fast JSON parser/generator for Java.  2019???????????????????????????????????????????????????????????? https://www.oschina.net/project/top_cn_2019,Core part of Jackson that defines Streaming API as well as basic shared abstractions
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-annotations,8,TRUE,TRUE,https://github.com/alibaba/fastjson,http://github.com/FasterXML/jackson,Fastjson is a JSON processor (JSON parser + JSON generator) written in Java,"Core annotations used for value types, used by Jackson data binding package. ",https://github.com/alibaba/fastjson,https://github.com/FasterXML/jackson-annotations,A fast JSON parser/generator for Java.  2019???????????????????????????????????????????????????????????? https://www.oschina.net/project/top_cn_2019,Core annotations (annotations that only depend on jackson-core) for Jackson data processor
com.alibaba:fastjson,org.codehaus.jackson:jackson-core-asl,2,TRUE,TRUE,https://github.com/alibaba/fastjson,http://jackson.codehaus.org,Fastjson is a JSON processor (JSON parser + JSON generator) written in Java,"Jackson is a high-performance JSON processor (parser, generator) ",https://github.com/alibaba/fastjson,http://xircles.codehaus.org/projects/jackson/repos/primary/repo,A fast JSON parser/generator for Java.  2019???????????????????????????????????????????????????????????? https://www.oschina.net/project/top_cn_2019,
com.alibaba:fastjson,org.codehaus.jackson:jackson-mapper-asl,2,TRUE,TRUE,https://github.com/alibaba/fastjson,http://jackson.codehaus.org,Fastjson is a JSON processor (JSON parser + JSON generator) written in Java,Data Mapper package is a high-performance data binding package built on Jackson JSON processor ,https://github.com/alibaba/fastjson,http://xircles.codehaus.org/projects/jackson/repos/primary/repo,A fast JSON parser/generator for Java.  2019???????????????????????????????????????????????????????????? https://www.oschina.net/project/top_cn_2019,
com.alibaba:fastjson,net.sf.json-lib:json-lib,1,TRUE,TRUE,https://github.com/alibaba/fastjson,http://json-lib.sourceforge.net,Fastjson is a JSON processor (JSON parser + JSON generator) written in Java,"Java library for transforming beans, maps, collections, java       arrays and XML to JSON.",https://github.com/alibaba/fastjson,git://github.com/aalmiray/Json-lib.git,A fast JSON parser/generator for Java.  2019???????????????????????????????????????????????????????????? https://www.oschina.net/project/top_cn_2019,"JSON-lib is a java library for transforming beans, maps, collections, java arrays and XML to JSON and back again to beans and DynaBeans."
com.beust:jcommander,info.picocli:picocli,10,TRUE,TRUE,https://jcommander.org,http://picocli.info,Command line parser library for Java,Java command line parser with both an annotations API and a programmatic API. Usage help with ANSI styles and colors. Autocomplete. Nested subcommands. Easily included as source to avoid adding a dependency.,http://example.com/my-library/,https://github.com/remkop/picocli,Command line parsing framework for Java,"The easiest way to build rich command line apps on & off the JVM. Colors, autocompletion, subcommands, GraalVM native images...  In 1 source file so apps can include as source & avoid adding a dependency. For Java, Groovy, Kotlin, Scala,... "
com.beust:jcommander,commons-cli:commons-cli,5,TRUE,TRUE,https://jcommander.org,http://commons.apache.org/proper/commons-cli/,Command line parser library for Java,"Apache Commons CLI provides a simple API for presenting, processing and validating a command line interface.",http://example.com/my-library/,scm:svn:http://svn.apache.org/repos/asf/commons/proper/cli/tags/cli-1.3.1/,Command line parsing framework for Java,
com.carrotsearch:hppc,it.unimi.dsi:fastutil,3,TRUE,TRUE,http://labs.carrotsearch.com,http://fastutil.di.unimi.it/,"High Performance Primitive Collections. Fundamental data structures (maps, sets, lists, stacks, queues) generated for combinations of object and primitive types to conserve JVM memory and speed up execution.","fastutil extends the Java Collections Framework by providing type-specific maps, sets, lists and priority queues with a small memory footprint and fast access and insertion; provides also big (64-bit) arrays, sets and lists, and fast, practical I/O classes for binary and text files.",scm:git:git@github.com:carrotsearch/hppc.git/hppc,https://github.com/vigna/fastutil,High Performance Primitive Collections for Java,"fastutil extends the Java??? Collections Framework by providing type-specific maps, sets, lists and queues."
com.carrotsearch:hppc,net.openhft:koloboke-api-jdk6-7,2,TRUE,TRUE,http://labs.carrotsearch.com,https://github.com/OpenHFT/Koloboke,"High Performance Primitive Collections. Fundamental data structures (maps, sets, lists, stacks, queues) generated for combinations of object and primitive types to conserve JVM memory and speed up execution.","Carefully designed and efficient extension of the Java Collections Framework with primitive specializations and more, built for Java 6 or 7 (API)",scm:git:git@github.com:carrotsearch/hppc.git/hppc,scm:git:git://github.com/OpenHFT/Koloboke,High Performance Primitive Collections for Java,Java Collections till the last breadcrumb of memory and performance
com.carrotsearch:hppc,net.openhft:koloboke-impl-jdk6-7,2,TRUE,TRUE,http://labs.carrotsearch.com,https://github.com/OpenHFT/Koloboke,"High Performance Primitive Collections. Fundamental data structures (maps, sets, lists, stacks, queues) generated for combinations of object and primitive types to conserve JVM memory and speed up execution.","Carefully designed and efficient extension of the Java Collections Framework with primitive specializations and more, built for Java 6 or 7 (implementation)",scm:git:git@github.com:carrotsearch/hppc.git/hppc,scm:git:git://github.com/OpenHFT/Koloboke,High Performance Primitive Collections for Java,Java Collections till the last breadcrumb of memory and performance
com.carrotsearch:hppc,net.openhft:koloboke-api-jdk8,1,TRUE,TRUE,http://labs.carrotsearch.com,https://github.com/OpenHFT/Koloboke,"High Performance Primitive Collections. Fundamental data structures (maps, sets, lists, stacks, queues) generated for combinations of object and primitive types to conserve JVM memory and speed up execution.","Carefully designed and efficient extension of the Java Collections Framework with primitive specializations and more, built for Java 8 (API)",scm:git:git@github.com:carrotsearch/hppc.git/hppc,scm:git:git://github.com/OpenHFT/Koloboke,High Performance Primitive Collections for Java,Java Collections till the last breadcrumb of memory and performance
com.carrotsearch:hppc,net.openhft:koloboke-impl-jdk8,1,TRUE,TRUE,http://labs.carrotsearch.com,https://github.com/OpenHFT/Koloboke,"High Performance Primitive Collections. Fundamental data structures (maps, sets, lists, stacks, queues) generated for combinations of object and primitive types to conserve JVM memory and speed up execution.","Carefully designed and efficient extension of the Java Collections Framework with primitive specializations and more, built for Java 8 (implementation)",scm:git:git@github.com:carrotsearch/hppc.git/hppc,scm:git:git://github.com/OpenHFT/Koloboke,High Performance Primitive Collections for Java,Java Collections till the last breadcrumb of memory and performance
com.datastax.cassandra:cassandra-driver-core,com.facebook.presto.cassandra:cassandra-driver,3,TRUE,TRUE,https://github.com/datastax/java-driver,https://github.com/prestodb/presto-cassandra-driver, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,Shaded version of DataStax Java Driver for Apache Cassandra,https://github.com/datastax/java-driver,https://github.com/prestodb/presto-cassandra-driver,DataStax Java Driver for Apache Cassandra,
com.datastax.cassandra:cassandra-driver-core,com.facebook.presto.cassandra:cassandra-server,2,TRUE,TRUE,https://github.com/datastax/java-driver,https://github.com/prestodb/presto-cassandra-server, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,Shaded version of Apache Cassandra for Presto,https://github.com/datastax/java-driver,https://github.com/prestodb/presto-cassandra-server,DataStax Java Driver for Apache Cassandra,
com.datastax.cassandra:cassandra-driver-core,info.archinnov:achilles-embedded,2,TRUE,TRUE,https://github.com/datastax/java-driver,http://achilles.archinnov.info, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,Achilles Embedded Module,https://github.com/datastax/java-driver,scm:git:git@github.com:doanduyhai/Achilles/achilles-embedded,DataStax Java Driver for Apache Cassandra,An advanced Java Object Mapper/Query DSL generator for Cassandra
com.datastax.cassandra:cassandra-driver-core,org.apache.ignite:ignite-cassandra-store,2,TRUE,TRUE,https://github.com/datastax/java-driver,, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,,https://github.com/datastax/java-driver,,DataStax Java Driver for Apache Cassandra,
com.datastax.cassandra:cassandra-driver-core,org.hibernate:hibernate-search-engine,2,TRUE,TRUE,https://github.com/datastax/java-driver,http://hibernate.org/search/, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,"the core of the Object/Lucene mapper, query engine and index management",https://github.com/datastax/java-driver,scm:git:git://github.com/hibernate/hibernate-search.git/hibernate-search-engine,DataStax Java Driver for Apache Cassandra,Hibernate Search: full-text search for domain model
com.datastax.cassandra:cassandra-driver-core,com.datastax.oss:java-driver-query-builder,1,TRUE,TRUE,https://github.com/datastax/java-driver,https://github.com/datastax/java-driver, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. , A driver for Apache Cassandra(R) 2.1+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's native protocol versions 3 and above. ,https://github.com/datastax/java-driver,https://github.com/datastax/java-driver,DataStax Java Driver for Apache Cassandra,DataStax Java Driver for Apache Cassandra
com.datastax.cassandra:cassandra-driver-core,org.codehaus.mojo:cassandra-maven-plugin,1,TRUE,TRUE,https://github.com/datastax/java-driver,http://mojo.codehaus.org/cassandra-maven-plugin, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,The Mojo Projects plugin for Apache Maven to allow launching a local Apache Cassandra instance from a Maven build,https://github.com/datastax/java-driver,https://github.com/mojohaus/cassandra-maven-plugin,DataStax Java Driver for Apache Cassandra,
com.datastax.cassandra:cassandra-driver-core,org.hibernate:hibernate-search-elasticsearch,1,TRUE,TRUE,https://github.com/datastax/java-driver,, A driver for Apache Cassandra 1.2+ that works exclusively with the Cassandra Query Language version 3 (CQL3) and Cassandra's binary protocol. ,Hibernate Search backend which has indexing operations forwarded to Elasticsearch,https://github.com/datastax/java-driver,,DataStax Java Driver for Apache Cassandra,
com.fasterxml.jackson.core:jackson-annotations,com.google.code.gson:gson,21,TRUE,TRUE,http://github.com/FasterXML/jackson,https://github.com/google/gson,"Core annotations used for value types, used by Jackson data binding package. ",Gson JSON library,https://github.com/FasterXML/jackson-annotations,https://github.com/google/gson,Core annotations (annotations that only depend on jackson-core) for Jackson data processor,A Java serialization/deserialization library to convert Java Objects into JSON and back
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-mapper-asl,18,TRUE,TRUE,http://github.com/FasterXML/jackson,http://jackson.codehaus.org,"Core annotations used for value types, used by Jackson data binding package. ",Data Mapper package is a high-performance data binding package built on Jackson JSON processor ,https://github.com/FasterXML/jackson-annotations,http://xircles.codehaus.org/projects/jackson/repos/primary/repo,Core annotations (annotations that only depend on jackson-core) for Jackson data processor,
com.fasterxml.jackson.core:jackson-annotations,org.codehaus.jackson:jackson-core-asl,17,TRUE,TRUE,http://github.com/FasterXML/jackson,http://jackson.codehaus.org,"Core annotations used for value types, used by Jackson data binding package. ","Jackson is a high-performance JSON processor (parser, generator) ",https://github.com/FasterXML/jackson-annotations,http://xircles.codehaus.org/projects/jackson/repos/primary/repo,Core annotations (annotations that only depend on jackson-core) for Jackson data processor,
